GENE,CONDITION,INHERITANCE,AGE GROUP,MANIFESTATION CATEGORIES,INTERVENTION/RATIONALE,REFERENCES
SLC27A4,Ichthyosis prematurity syndrome,AR,N/A,Dermatologic; Obstetric,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",19631310; 21856041; 22927265
SLC28A1,Uridine-cytidineuria,AR,N/A,Biochemical,The clinical relevance is unclear,30658162; 30847922
SLC29A3,Histiocytosis-lymphadenopathy plus syndrome ,AR,Pediatric,Allergy/Immunology/Infectious; Audiologic/Otolaryngologic; Cardiovascular; Dermatologic; Endocrine; Gastrointestinal; Musculoskeletal,"Lipogranulomatous infiltration has been reported as benefiting from surgical interventions, radiotherapy, and medical treatment (eg, with cylophosphamide, prednisolone); Hormonal insufficiency, including hypogonadotropic hypogonadism, hypothyroidism, and growth hormone deficiency, may benefit from medical treatment; Individuals may manifest with early-onset hearing loss, and early recognition and treatment of hearing impairment may improve outcomes, including speech and language development",16118898; 16631937; 16650224; 16155931; 16155931; 18940313; 19336477; 19175903; 19889517; 20140240; 20199414; 20199539; 20399510; 20619369; 21178579; 21888995; 22238637; 22356918; 22653152; 22875837; 22989030; 23058913; 23406517; 23530176; 23623699
SLC2A1,"GLUT1 deficiency syndrome 1; GLUT1 deficiency syndrome 2; Dystonia 9; Epilepsy, idiopathic generalized, susceptibility to, 12; Stomatin-deficient cryohydrocytosis with neurologic defects",AD/AR,Pediatric,Hematologic; Neurologic,"Correct diagnosis is important, as ketogenic diet may result in marked clinical improvement of seizures and motor symptoms; Individuals have been described with anemia requiring transfusions; For Dystonia 9, medical management (with acetazolamide and other agents) has been described as beneficial",1575453; 7174793; 8808284; 9462754; 10980529; 11603379; 12555938; 12548383; 15132717; 15180870; 16171377; 15622525; 18451999; 18577546; 19304421; 19630075; 19798636; 19901175; 20574033; 21791420; 21832227; 22282645; 22492876; 23280796; 26336901; 26537434; 28331464
SLC2A10,Arterial tortuosity syndrome,AR,Pediatric,Cardiovascular; Dermatologic; Genitourinary; Musculoskeletal; Renal,"Individuals appear to be at increased risk of cradiovascular manifestations, such as ischemic events, arterial aneurysm, and other findings, and preventive measures and prompt treatment may be beneficial",6033167; 12801113; 16550171; 17935213; 18565096; 19508422; 19781076; 29323665
SLC2A2,Fanconi-Bickel syndrome; Glycogen storage disease XI; Neonatal diabetes mellitus,AR,Pediatric,Biochemical; Endocrine; Gastrointestinal; Renal,"Dietary measures (eg, frequent feeds, cornstarch) can be beneficial; In mildly affected individuals, dietary measures (eg,  free glucose and galactose restriction) may be beneficial in terms of growth; Individuals may also manifest with neonatal diabetes mellitus, and awareness may allow preventive measures and prompt treatment related to severe episodes",15397919; 6274135; 3153325; 8362811; 7632512; 7564233; 9266402; 9354798; 10987651; 11044475; 11810292; 19480329; 21271664; 22145468; 22350464; 22214819; 22060631; 22831748; 22660720 
SLC2A9,"Hypouricemia, renal, 2",AD/AR,Pediatric,Renal,"The condition may be associated with complications including exercise-induced acute renal failure and nephrolithiasis, and preventive measures (eg, related to exercise) may be beneficial",9026395; 19926891; 22132964; 21536615 
SLC30A10,Hypermanganesemia with dystonia 1,AR,Pediatric,Biochemical; Gastrointestinal; Hematologic; Neurologic,"The condition can involve hypermagnesemia, with gastrointestinal, neurologic, and other sequelae, and chelation therapy has been described as beneficial in some individuals",11040156; 18087599; 18392750; 21596707; 22341971; 22341972
SLC30A2,"Zinc deficiency, transient neonata",AD,Adult,Biochemical,"Infants born to mothers with causative variants can show signs of zinc deficiency, and awareness may allow zinc supplementation in the infant's diet",17065149; 22733820
SLC30A9,Birk-Landau-Perez syndrome,AR,Pediatric,Neurologic; Renal,Individuals have been described with childhood-onset renal insufficiency (including hyperkalemia and hypertension) and awaereness may allow early identification and management,28334855
SLC33A1,"Congenital cataracts, hearing loss, and neurodegeneration",AR,Pediatric,Audiologic/Otolaryngologic; Biochemical; Neurologic; Ophthalmologic,Medical treatment (with copper supplementation) has been reported as biochemically and clinically beneficial in some individuals; Awareness of the potential of hearing loss may allow early identification and interventions to support speech and language development,15902551; 19061983; 20461110; 22243965; 22508683
SLC34A1,"Fanconi renotubular syndrome 2; Hypercalcemia, infantile 2; Nephrolithiasis/osteoporosis, hypophosphatemic, 1",AR,Pediatric,Renal,"In Fanconi renotubular syndrome 4, treatment with neutral phosphate has been reported as resulting in improvement in some but not all clinical, radiological, and laboratory parameters; Due to increased renal phosphate loss, individuals may be at increased risk of renal stone formation and/or bone demineralization; In Hypercalcemia, infantile 2, chronic (with vitamin D supplements) and acute (including IV rehydration, furosemide, corticosteroids, ketoconazole, and oral phosphate) medical management has been described as beneficial in many individuals",2842681; 12324554; 20335586; 26047794
SLC34A2,Pulmonary alveolar microlithiasis,AR,Pediatric,Pulmonary,Treatment with disodium editronate has been reported as effective,1485012; 9097354; 9258573; 11287838; 12210357; 12357485; 11956731; 12700375; 16960801; 20425862; 22336687 
SLC34A3,"Hypophosphatemic rickets with hypercalciuria, hereditary",AR,Pediatric,Renal,"The condition can result in sequelae such as severe rickets, and supplementation (eg, with phosphate) can be effective to treat many sequelae",2983203; 3796683; 1436310; 16358214; 16358215
SLC35A1,"Congenital disorder of glycosylation, type IIf",AR,Pediatric,Allergy/Immunology/Infectious; Hematologic; Neurologic,"The condition can include infectious risks (as well as other hematologic anomalies), and antiinnfectious prophylaxis and early and aggressive treatment of infections may be beneficial; BMT has been described;  Awareness of coagulopathies may be beneficial in terms of medical management, especially in situations such as surgery",11157507; 15576474
SLC35A2,"Congenital disorder of glycosylation, type IIm",XL,Pediatric,Allergy/Immunology/Infectious; Craniofacial; Hematologic; Neurologic,"The condition can include infectious risks (as well as other hematologic anomalies), and antiinfectious prophylaxis and early and aggressive treatment of infections may be beneficial; Awareness of coagulopathies may be beneficial in terms of medical management, especially in situations such as surgery",23561849; 24115232
SLC35A3,"Arthrogryposis, mental retardation, and seizures",AR,N/A,Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",24031089
SLC35C1,"Congenital disorder of glycosylation, type IIc; Leukocyte adhesion deficiency, type II",AR,Pediatric,Allergy/Immunology/Infectious; Biochemical; Neurologic,"Treatment with fucose has been described as effective in some individuals; Surveillance for and prompt treatment of infections may be beneficial;  Awareness of coagulopathies may be beneficial in terms of medical management, especially in situations such as surgery",1279426; 10590041; 11213799; 11326280; 11133780; 12116250; 21175687; 20301507
SLC35D1,Schneckenbecken dysplasia,AR,N/A,Musculoskeletal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",11200994; 17952091; 19508970
SLC36A2,"Hyperglycinuria; Iminoglycinuria; Iminoglycinuria, digenic",AD/AR/Digenic,N/A,Biochemical; Renal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",19033659
SLC37A4,Glycogen storage disease Ib; Glycogen storage disease Ic; Glycogen storage disease Id,AR,Pediatric,Allergy/Immunology/Infectious; Biochemical; Gastrointestinal; Oncologic; Renal,"Dietary measures can be beneficial allow optimal glucose levels and promote growth and development (additionally, specific carbohydrate sources should be limited); Allopurinol to prevent gout and lipid-lowering medications to prevent hyperlipidemia may be necessary when dietary therapy is ineffective; Citrate supplementation and ACE inhibitors may help prevent development of decrease renal complications, though renal transplant may ultimately be necessary; Surveillance for and treatment of hepatic neoplasms (including liver transplant in some) can be beneficial;  G-CSF may be beneficial due to recurrent infections",4300573; 212064; 6928812; 6578929;  6298622; 6309784; 3860000; 3459848; 3464427; 2311631; 1719175; 1375344; 8319729; 273986; 8758135; 9428641; 9758626; 9686363; 10931421; 12576310; 20301489; 21575371; 21599942;  21629566
SLC38A8,Foveal hypoplasia 2,AR,N/A,Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",24045842; 24290379
SLC39A13,"Ehlers-Danlos syndrome, spondylodysplastic type, 3",AR,N/A,Craniofacial; Dermatologic; Musculoskeletal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",18985159; 18513683
SLC39A14,Hyperostosis cranialis interna; Hypermanganesemia with dystonia 2,AD/AR,Pediatric,Biochemical; Musculoskeletal; Neurologic,"In Hyperostosis cranialis interna, surveillance for sequelae related to overgrowth, including hearing evaluation, assessment of signs of increased intracranial pressure and cranial nerve entrapment, can allow early surgical management; In  Hypermanganesemia with dystonia 2, individuals have been described with childhood-onset neurodegenerative findings, and medical treatment (with early manganese chelation therapy) has been described as clinically beneficial",20140965; 2300107; 27231142; 29621230
SLC39A4,Acrodermatitis enteropathica,AR,Pediatric,Biochemical; Dermatologic; Gastrointestinal,"The condition may present with failure to thrive, diarrhea, and dermatitis, and, if untreated, may evolve to include other sequelae of zinc deficiency, including immunodeficiency and neurologic manifestations, and medical management (eg, treatment with oral zinc therapy) can be effective",4136854; 1090826; 12068297; 19370757; 20883266; 21165302; 21762381; 21906148; 21907902; 22082465; 22166942; 23228939; 23430849
SLC39A5,Myopia 24,AD,N/A,Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",24891338
SLC39A8,"Congenital disorder of glycosylation, type IIn",AR,Pediatric,Allergy/Immunology/Infectious; Biochemical; Musculoskeletal; Neurologic,"Individuals have been described with recurrent infections, and awareness may allow prompt management and prophylactic measures",26637978; 26637979
SLC3A1,Cystinuria,AD/AR,Pediatric,Biochemical; Renal,"Measures to maintain high fluid intake, as well as medical therapy (eg, urine alkalinization, and, in some, penicillamine) can be beneficial",5925065; 2502678; 8054986; 7573036; 12239244; 12820697; 15635077; 19782624; 20052367; 20399395; 21255007; 21677404; 21863055
SLC40A1,"Hemochromatosis, type 4",AD,Pediatric,Biochemical; Cardiovascular; Endocrine; Gastrointestinal; Hematologic,"Phlebotomy may be beneficial in some individuals, but genetic diagnosis may be useful to direct treatment regimens, as some indviduals may have reduced tolerance to phlebotomy and can become anemic on therapy despite persistently elevated serum ferritin ",1518736; 11431687; 14752817; 14757427; 15030991; 16351644; 15831700; 17566043; 17383046; 19709084; 19342478; 19589941; 20230395; 21175851; 21411349; 22584997; 22890139
SLC41A1,Nephronophthisis-like ciliopathy,AR,Pediatric,Allergy/Immunology/Infectious; Renal,"Individuals have been described with frequent  respiratory infections (including with Pseudomonas aeruginosa in one reported individual), and awareness of infectious risk may allow preventive management as well as prompt and aggressive treatment",23661805
SLC44A1,"Neurodegeneration, childhood-onset, with ataxia, tremor, optic atrophy, and cognitive decline",AR,N/A,Neurologic; Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",28097321; 31855247
SLC44A4,"Deafness, autosomal dominant, 72",AD,N/A,Audiologic/Otolaryngologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",28013291
SLC45A1,Intellectual developmental disorder with neuropsychiatric features (IDDNPF),AR,N/A,Craniofacial; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",27431290; 28434495
SLC45A2,"Oculocutaneous albinism, type IV; Skin/hair/eye pigmentation 5",AD/AR,N/A,Dermatologic; Ophthalmologic,"Variants associated with Skin/hair/eye pigmentation 5 are associated with a slight increased risk of skin cancer, but clinical applicability is otherwise unclear",11574907; 14722913; 14961451; 15714523; 17358008; 17999355; 19578363
SLC46A1,"Folate malabsorption, hereditary",AR,Pediatric,Allergy/Immunology/Infectious; Biochemical; Gastrointestinal; Hematologic; Neurologic,"Individuals may present in infancy with anemia, diarrhea, infections/immune deficiency, and cognitiive impairment, and treatment (eg, with folate/folinic acid supplementation) can be effective",5450108; 3987728; 2381546;  11804211; 11807405; 7129779; 17641272; 18559978; 17446347; 21333572; 21489556
SLC4A1,"Spherocytosis, type 4; Ovalcytosis, Southeast Asian; Cryohydrocytosis; Renal tubular acidosis, distal, with hemolytic anemia; Renal tubular acidosis, distal, autosomal dominant; Renal tubular acidosis, distal, autosomal recessive; Blood group, Wright; Blood group, Waldner; Blood group, Diego; Blood group, Froese; Blood group, Swann",AD/AR/BG,Pediatric,Hematologic; Renal,"In Renal tubular acidosis, if detected early, therapeutic correction of the acidosis by alkali administration leads in most cases to improvement of biochemical abnormalities and resumption of normal growth, as well as beneficial regarding skeletal manifestations; As pertains to hematologic manifestations, splenectomy has been reported as being beneficial; Variants associated with a blood group may be important in specific situations (eg, related to transfusion)",13288586; 13669428; 13739450; 6025225; 2829189; 2146504; 1824272; 1536803; 1519367; 1737855; 1520883; 8343110; 7713501; 8206915; 8282779; 7919393; 7812009; 8547122; 8704215; 8608262; 8567957; 9207478; 9312167; 9734643; 9973643; 9600966; 9854053; 10403343; 10926824; 11061863; 10942416; 11155072; 11380459; 11756190; 12087557; 15211439; 16227998; 19229254; 19297287; 20015879; 20799361;  20825599; 20960171; 22126643; 22609520; 22693689; 22919024; 23255290; 23498825; 23878048; 24257694
SLC4A11,Cryohydrocytosis,AD,Pediatric,Audiologic/Otolaryngologic; Hematologic; Ophthalmologic,"Individuals with Cryohydrocytosis can suffer from hemolytic anemia, which can be ameliorated by splenectomy, though postsplenectomy thrombotic complications may occur, and awareness may allow surveillance and management",16767101; 16227998; 17220209; 18024964; 20848555; 21203343; 22072594
SLC4A4,"Renal tubular acidosis, proximal, with ocular abnormalities and/or migraine",AD/AR,Pediatric,Dental; Neurologic; Ophthalmologic; Renal,"Medical treatment of renal tubular acidosis may be beneficial; Diagnosis may allow early treatment related to ocular anomalies, which can include glaucoma",8142230; 10545938; 11274232; 20798035 
SLC52A1,Riboflavin deficiency,AD,Pediatric,Biochemical; Neurologic,"One individual with a heterozygous deletion has been reported, and this was postulated as contributing to transient neonatal-onset glutaric aciduria Type 2 in this individual's offspring,which was reported as being effectively treated by riboflavin therapy",17689999; 21089064; 23107375
SLC52A2,Brown-Vialetto-Van Laere syndrome 2,AR,Pediatric,Audiologic/Otolaryngologic; Biochemical; Musculoskeletal; Neurologic; Ophthalmologic,"Individuals may manifest with progressive neurological dysfunction, and there is evidence that medical/dietary management (with high-dose riboflavin therapy) may be beneficial; Awareness of the potential for hearing loss may allow early interventions related to speech and language development",22740598; 23107375; 23243084; 30343981
SLC52A3,Brown-Vialetto-Van Laere syndrome 1; Fazio-Londe disease,AR,Pediatric,Audiologic/Otolaryngologic; Biochemical; Musculoskeletal; Neurologic; Ophthalmologic,"Individuals typically manifest with progressive neurological dysfunction, including hearing loss, and there is evidence that high-dose riboflavin therapy may be beneficial in some individuals",13900073; 5969547; 5563586; 7425580; 7229669; 2325091; 16122634; 20206331; 20920669; 21110228; 22098162; 22740598; 22633641; 22211384; 23107375 
SLC5A1,Glucose/galactose malabsorption,AR,Pediatric,Gastrointestinal,"Individuals typically present in infancy with severe osmotic diarrhea and consequent dehydration, which can be fatal without dietary elimination of glucose and galactose (ie, individuals demonstrate dramatic improvement  on fructose-based formula)",11406349; 2008213; 8985845; 8844006; 9815014; 12139397; 17169300; 18288487; 20486940; 22843301; 23107089; 24048166
SLC5A2,Renal glucosuria,AD/AR,N/A,Renal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",12436245; 21165652
SLC5A5,Thyroid dyshormonogenesis 1,AR,Pediatric,Endocrine; Oncologic,"Medical  treatment of hypothyroidism (eg, with T4) can be effective; Thyroid neoplasms have also been reported, and surveillance may be beneficial",9171822; 19916865; 21543982; 21565787
SLC5A6,"Neurodegeneration, infantile-onset, biotin-responsive",AR,Pediatric,Biochemical; Neurologic,"The condition can involve early-onset developmental regression, and medical/dietary treatment (with biotin, pantothenic acid, and alpha-lipoic acid) has been shown to result in clinical improvement",27904971; 31754459
SLC5A7,"Myasthenic syndrome, congenital, 20, presynaptic",AR,Pediatric,Neurologic,"The condition involves muscular weakness, and medical managament (with AChE inhibitors) has been described as beneficial in some individuals",11294660; 23141292; 27569547
SLC6A17,"Mental retardation, autosomal recessive 48",AR,N/A,Craniofacial; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",25704603
SLC6A19,Hartnup disease,AR,Pediatric,Biochemical; Dermatologic; Neurologic; Renal,Medical therapy (nicotinamide) and sun avoidance can be beneficial for pellagra-like findings; Optimal protein-related treatment is unclear,13358233; 5647741; 5813128; 5041315; 2582682; 11394870; 15286787; 15286788; 19033659; 19185582; 19335424; 20399395 
SLC6A2,Orthostatic intolerance,AD,N/A,Endocrine; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",10684912; 11458707; 12805287
SLC6A20,"Iminoglycinuria, digenic; Hyperglycinuria/Iminoglycinuria, modifier of",AD/Digenic,N/A,Biochemical; Renal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",19033659
SLC6A3,"Parkinsonism-dystonia, infantile 1",AR,N/A,Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",19478460; 22279524
SLC6A5,Hyperekplexia 3,AR,Pediatric,Neurologic,"Neonates are at risk of sudden death from apnea/aspiration, and surveillance, as well as primary prevention with medical treatments (eg, clonazepam) may be beneficial",1334371; 1355335; 16751771; 22753417; 22700964; 20301437 
SLC6A8,Creatine deficiency syndrome 1,XL,Pediatric,Audiologic/Otolaryngologic; Biochemical; Craniofacial; Gastrointestinal; Musculoskeletal; Neurologic,"Medical treatment (with  oral creatine, arginine, and/or glycine supplementation) has been described as beneficial in some patients, as measured by increased  cerebral creatine or improved clinical findings",11261517; 11326334; 11898126; 12210795; 12889669; 15154114; 16738945; 17101918; 18569740; 19188083; 20301745; 20501887; 20528887; 20717164; 20846889; 21144783; 21556832; 21660517; 22644605; 22281021; 23660394; 23644449; 24953403
SLC6A9,Glycine encephalopathy with normal serum glycine,AR,N/A,Biochemical; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",27481395; 27773429
SLC7A14,Retinitis pigmentosa 68,AR,N/A,Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",24670872
SLC7A7,Lysinuric protein intolerance,AR,Pediatric,Allergy/Immunology/Infectious; Biochemical; Gastrointestinal; Hematologic; Musculoskeletal; Neurologic; Pulmonary; Renal,"Individuals may manifest with a range of  manifestations (eg, developmental delay, failure to thrive with malabsorption, anemia/thrombocytopenia, immunodeficiency, osteoporosis, hemophagocytic lymphohistiocytosis, and pulmonary and renal complications), and dietary/medical therapy (eg, protein restriction, citrulline substitution with use of nitrogen scavengers, lysine supplementation, and carnitine supplementation when necessary) may be beneficial",4158034; 6076999; 5666624; 5431208; 5553484; 7204568; 3917550; 2732736; 8163273; 8655715; 8892019; 10080183; 9931537; 10080182; 10655553; 10737982; 10451527; 17764084; 18328359; 18716612; 20301535; 21308987; 21716135; 22402328; 22876067; 23358709; 23430827; 23542076; 23772603
SLC7A9,Cystinuria,AD/AR,Pediatric,Biochemical; Renal,"Measures to maintain high fluid intake, as well as medical therapy (eg, urine alkalinization, and, in some, penicillamine) can be beneficial",5925065; 2502678; 10471498; 11157794; 12239244; 12371955; 12820697; 12820697; 17539912
SLC9A1,"Spinocerebellar ataxia, autosomal recessive 19 (Lichtenstein-Knorr syndrome)",AR,N/A,Audiologic/Otolaryngologic; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",25205112
SLC9A3,"Diarrhea 8, secretory sodium, congenital",AR,Pediatric,Gastrointestinal,"Individuals have been described with severe, early-onset diarrhea and related electrolyte imbalances, and awareness may allow prompt and appropriate management of nutrition and fluid balance",3880821; 26358773; 30633106; 31276831
SLC9A3R1,"Nephrolithiasis/osteoporosis, hypophosphatemic, 2",AD,Adult,Renal,"Due to increased renal phosphate loss, individuals may be at increased risk of renal stone formation and/or bone demineralization, and preventive measures may be beneficial",18784102
SLC9A6,"Mental retardation, X-linked syndromic, Christianson type",XL,N/A,Craniofacial; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",10528855; 18342287; 19377476; 20949524; 22931061; 25044251
SLC9A7,"Intellectual developmental disorder, X-linked 108",XL,N/A,Craniofacial; Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",30335141
SLC9A9,Autism susceptibility 16,AD,N/A,Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",18621663
SLCO1B1,Statin-induced myopathy,AD,Pediatric,Gastrointestinal,"For Statin-induced myopathy, the presence of variants may indicate an increased risk of adverse events (eg, with statins), or may additionally be associated with indications for dosing/medication selection (eg, with rifampin)",766621; 18781850; 18823304; 18854776; 19238654; 18650507; 19901119; 21178985; 21142914; 19952871; 21243006; 21709081; 21386754; 22462750; 22232210; 22668755; 22749334; 22850760 
SLCO1B3,"Hyperbilirubinemia, Rotor type, digenic",Digenic,N/A,Gastrointestinal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",766621; 22232210
SLCO2A1,"Hypertrophic osteoarthropathy, primary, autosomal recessive 2; Primary hypertrophic osteoarthropathy",AD/AR,N/A,Dermatologic; Musculoskeletal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",16283874; 20889364; 22553128; 22331663; 22197487
SLFN14,"Bleeding disorder, platelet-type, 20",AR,Pediatric,Hematologic,"Individuals have increased bleeding tendency, and awareness may allow preventive measures and early management of bleeding complications",26280575; 26769223
SLITRK1,Trichotillomania; Tourette syndrome,AD,N/A,Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",16224024; 17083340; 18021920; 17712845
SLITRK6,Deafness and myopia,AR,Pediatric,Audiologic/Otolaryngologic; Ophthalmologic,Awareness of prelingual hearing loss may allow early interventions related to speech and language development,23543054; 23946138
SLURP1,Mal de Meleda,AD/AR,N/A,Dermatologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",4281438; 9887370; 11285253; 14756676; 20854438; 21690549; 23290002
SLX4,"Fanconi anemia, complementation group P",AR,Pediatric,Audiologic/Otolaryngologic; Allergy/Immunology/Infectious; Dermatologic; Gastrointestinal; Hematologic; Musculoskeletal; Neurologic; Oncologic; Ophthalmologic; Renal,"Specific treatments can help manifestations (eg, oral androgens for blood counts; G-CSF for neutrophil count); HSCT can be curative, but solid tumor risk may remain; Surveillance for complications such as bone marrow failure is recommended",21240275; 21240277; 20301575
SMAD3,"Aneurysms-osteoarthritis syndrome; Loeys-Dietz syndrome, type 3",AD,Pediatric,Cardiovascular; Craniofacial; Dermatologic; Musculoskeletal,"Preventive measures and medical management may be helpful to help decrease morbidity, especially related to cardiovascular complications, which can result in sequelae such as sudden death, primarily due to aortic dissection and/or rupture",21217753; 21778426; 22167769 
SMAD4,"Hereditary hemorrhagic telangiectasia, type 1; Juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome; Polyposis, juvenile intestinal; Myhre syndrome",AD,Pediatric,Audiologic/Otolaryngologic; Cardiovascular; Gastrointestinal; Hematologic; Oncologic,"Individuals with HHT and JPS/HHT may have a variety of vascular complications, including arteriovenous malformations, aortic dilatation, and bleeding diatheses, and surveillance and early intervention related to manifestations (eg, related to thromboembolism or hepatic disease) may decrease morbidity and mortality; In JPS and JPS/HHT, surveillance and early diagnosis/treatment of malignancy (eg, colon cancer) may be beneficial; In Myhre syndrome, individuals may manifest with multisystemic features, including hearing impairment (for which appropriate interventions may be beneficial related to speech and language development) as well as cardiovascular anomalies, and appropriate surveillance may allow prompt diagnosis and treatment",7372073; 7296942; 9582123; 11568925; 12136244; 15031030; 15235019; 16152648; 15723310; 15754356; 16613914; 16690726; 17873119; 18824676; 20101697; 21465659; 21490502; 22158539; 22810475; 21835029; 22243968; 20301525 
SMAD6,Aortic valve disease 2,AD,Pediatric,Cardiovascular; Craniofacial; Musculoskeletal; Neurologic,"Individuals may manifest with sequelae of cardiovascular anomalies including bicuspid, aortic valve, aortic stenosis, and aortic coarctation, and awareness may allow early detection and medical/surgical management, which may ameliorate morbidity and mortality",22275001; 27606499; 31138930
SMAD9,"Pulmonary hypertension, primary 2",AD,Pediatric,Cardiovascular; Pulmonary,"While prognosis is overall poor, medical therapy (eg, with, oral calcium antagonists, anticoagulants, epoprostenol) may be beneficial, though heart/lung transplantation may be required; Control of complications may be beneficial",19211612
SMARCA2,Nicolaides-Baraitser syndrome,AD,N/A,Craniofacial; Dermatologic; Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",19606471; 22366787; 22822383; 25249037
SMARCA4,Rhabdoid tumor predisposition syndrome 2,AD,Pediatric,Cardiovascular; Dermatologic; Musculoskeletal; Neurologic; Oncologic; Genitourinary,"Individuals may be at high risk for a variety of undifferentiated tumor types, and surveillance and early diagnosis/treatment may be beneficial",20137775; 22426308; 23775540; 24658001; 24658002; 24752781
SMARCAD1,Huriez syndrome,AD,Adult,Dermatologic; Oncologic,"Huriez syndrome has been described as involving significant risk of aggressive squamous cell skin carcinoma, and awareness may allow surveillance and early management of disease",4298032; 8731679; 10631162; 20619487; 21820097; 24664640; 24909267; 26932190; 29409814
SMARCAL1,Schimke immunoosseous dysplasia,AR,Pediatric,Allergy/Immunology/Infectious; Cardiovascular; Dermatologic; Musculoskeletal; Neurologic; Renal,"Though the disorder may be clinically recognizable in many individuals, many individuals have an associated risk for opportunistic infection due to T-cell deficiency, and prophylaxis (eg, against P. carinii) and early and aggressive treatment of infections can be beneficial; BMT has been described",4282260; 2397176; 2066860; 8267014; 9674900; 9632175; 10528861; 10653321; 11113849; 0710226; 11799392; 12471207; 15523612; 16419127; 17089404; 17676601; 20301550 
SMARCB1,Schwannomatosis; Rhabdoid tumor predisposition syndrome 1,AD,Pediatric,Cardiovascular; Dermatologic; Musculoskeletal; Neurologic; Oncologic; Genitourinary,Surveillance/early treatment of tumors may reduce morbidity,6091860; 2543225; 9737241; 10521299; 17357086; 18285426; 18072270; 19582488; 20930055; 22426308; 22038540 
SMARCC2,Coffin-Siris syndrome 8,AD,N/A,Craniofacial; Dermatologic; Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",25590979; 27620904; 30580808
SMARCD1,Coffin-Siris syndrome 11,AD,N/A,Craniofacial; Dental; Musculoskeletal; Neurologic; Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",30879640
